question	answer	question_seg	question_seg_stop
港股通换汇安排是怎样的？	内地投资者通过港股通买卖港股通股票，以港币报价成交，而投资者实际支付或收取人民币。因此，需要将成交货币（也就是港币）按一定汇率换算为人民币，这就是通常所说的换汇处理。对投资者而言，如何确定买入或卖出股票所需支付或收到的人民币，是其比较关注的问题。在这里，需要注意区分参考汇率和结算汇兑比率两个概念的差异。参考汇率是指，在港股通交易日开市前，由中国结算根据换汇银行提供、并通过上交所网站向市场公布的汇率。参考汇率包括港币买入参考价、港币卖出参考价两项。境内证券公司可能利用该参考汇率作为控制投资者资金之用。即，境内投资者买入港股时，证券公司利用港币卖出参与价计算投资者需要支付的人民币资金；投资者卖出港股时，证券公司利用港币买入参考价计算投资者可以得到的人民币资金。结算汇兑比率是指，当日收盘后，中国结算根据全市场港股通成交的清算净额与换汇银行换汇后，将换汇成本均摊至当日所有买入成交和卖出成交后，所计算出的对投资者当日成交进行人民币资金结算所实际适用的汇率。结算汇兑比率包括买入结算汇兑比率和卖出结算汇兑比率两项。由上可知，参考汇率不等于结算汇兑比率。由于采用净额换汇安排和成本全额均摊原则，结算汇兑比率一般都会优于前述参考汇率。即，日终清算后，投资者的港股买入交易，按卖出结算汇兑比率所计算出的、实际需要支付的人民币，一般将少于证券公司日间按卖出参考价所计算出的金额。反之，日终清算后，投资者的港股卖出交易，按买入结算汇兑比率所计算出的、实际可以得到的人民币，一般将多于证券公司日间按买入参考价所计算出的金额。当然，出于风险管理的需要，可能有证券公司会在参考报价的基础上再加减一定比例来控制客户资金，投资者应事先咨询指定交易证券公司了解详情。每日交易开始前和结束后，中国结算分别提供当日交易的参考汇率。上交所证券交易服务公司在上交所官网上转发该汇率。提示投资者，港股通交易日与交收日之间的汇率波动不影响投资者参与港股通交易的资金交收，投资者无需承担交易日与交收日之间的汇率变动风险。另外，上述安排仅适用于交易结算资金的清算，公司行为类结算资金（如，派发红利）一般采用逐笔全额换汇安排。	['港股', '通', '换汇', '安排', '是', '怎样', '的']	 港股 通 换汇 安排
投资者如何处理所持有的已停牌港股通股票？	上市公司股票在停牌期间暂时不能在交易所买卖。如果投资者持有停牌公司的股票，那么应当密切留意上市公司在“披露易”网站上刊发的最新公告。如果上市公司已停牌3个月或以上，投资者可到“披露易”网站“发行人相关资料”栏目查阅有关长时间停牌公司的报告，以了解上市公司的最新情况。上市公司退市后，其股份已再不可以在联交所公开交易。由于已经退市的公司并非上市公司，《上市规则》不再适用，个别股东的权利将只由公司注册成立所在地的法例以及公司本身的组织章程文件来保障。	['投资者', '如何', '处理', '所', '持有', '的', '已', '停牌', '港股', '通', '股票']	 投资者 处理 持有 已 停牌 港股 通 股票
香港联交所提供的免费一档行情是实时行情吗？	联交所通过上交所向内地港股通投资者提供免费一档行情。该行情（最优买卖盘）覆盖港股通股票范围（包括可买卖证券和仅可卖证券），但是，提示投资者，该行情的刷新频率为3秒，并非实时行情。因此，投资者应当知道参考该行情做出投资决策可能带来一定的风险。对于联交所发布的多档实时行情,内地投资者可以按照商业惯例获取。	['香港联交所', '提供', '的', '免费', '一档', '行情', '是', '实时', '行情', '吗']	 香港联交所 提供 免费 一档 行情 实时 行情
沪港股票交易规则主要有哪些差异？	一是不同于A股市场有涨跌停板规则，港股不设涨跌幅限制，因此，短期内可能出现大幅盈利或亏损。例如，港股容易受夜间欧美市场消息及走势影响，欧美主要国家央行货币政策调整，国际大宗商品价格变化，局部战争等消息，都会大幅影响相关指数或个股走势，投资者要关注欧美主要市场的消息，以对短期交易策略进行判断。二是不同于A股，港股实行T+0回转交易，日内投资者可不限次数地买卖，与此同时，港股资金与股票的交收是在T+2日。如果投资者对港股通交易资金的交收状况不清楚，那么，可能对交易作出错误安排。提示投资者，向自己开户所在证券公司了解对资金交收的具体规定，做好资金安排，防范此类风险。具体比照，参见下表	['沪', '港', '股票交易', '规则', '主要', '有', '哪些', '差异']	 沪 港 股票交易 规则 主要 差异
香港市场股票行情报价的颜色与内地一样吗？	联交所负责发布香港市场证券交易行情信息。提示港股通投资者，在香港市场，当股票价格上涨时，股票报价屏幕上显示的颜色为绿色，下跌时则为红色。但是，不同的行情软件商提供的行情走势颜色可以重新设定，港股通投资者在使用行情软件的时候，应当仔细检查软件的参数设置，避免惯性思维带来的风险。总之，内地投资者在参与港股通交易前应了解香港市场行情报价显示的具体含义，避免因误解而做出错误的投资决策，遭受投资风险。	['香港', '市场', '股票', '行情报价', '的', '颜色', '与', '内地', '一样', '吗']	 香港 市场 股票 行情报价 颜色 内地 一样
港股通投资者是否会面临境内市场结算风险？	港股通境内结算适用于分级结算原则，港股通投资者可能面临以下风险一是，因结算参与人（即投资者指定交易的证券公司）未完成与中国结算的集中交收，导致投资者应收资金或证券被暂不交付或处置的风险；二是，结算参与人（即投资者指定交易的证券公司）对投资者出现交收违约导致投资者未能取得应收证券或资金；三是，结算参与人（即投资者指定交易的证券公司）向中国结算发送的有关投资者的证券划付指令有误导致投资者权益受损；四是，其他因结算参与人（即投资者指定交易的证券公司）未遵守相关业务规则导致投资者利益受到损害的情况。	['港股', '通', '投资者', '是否', '会', '面临', '境内', '市场', '结算', '风险']	 港股 通 投资者 是否 会 面临 境内 市场 结算 风险
如果港股通标的股票的A股停牌，那么其作为港股通标的股票的H股是否同时停牌？	上交所根据上市规则对A+H股公司中的A股实施盘中停牌措施的，那么其作为港股通标的股票的H股也将同步实施盘中停牌。	['如果', '港股', '通', '标的', '股票', '的', '股', '停牌', '那么', '其', '作为', '港股', '通', '标的', '股票', '的', '股', '是否', '同时', '停牌']	 港股 通 标的 股票 股 停牌 港股 通 标的 股票 股 是否 停牌
港股通股票上市公司在什么情况下会主动提出停牌？	上市公司提出停牌申请的原因，主要是因为有对股价敏感的消息需公布，如（1）对股价敏感的资料未有及时披露，例如正在酝酿供股或配股。（2）当公司收到收购建议，并须与主要股东商讨是否同意被收购时，也会提出停牌申请。若未能向公众公布有关建议，股份便需暂停买卖。即使没有建议的详情，公司也要向公众透露公司正在商讨可能达成收购协议的详情。（3）某些涉及需予披露的重大交易，例如公司的业务性质或控制权有重大改变，便需作详细公布或获得股东的同意，因此也会停牌。（4）公司将被接管、清盘或牵涉重大诉讼或调查等。	['港股', '通', '股票', '上市公司', '在', '什么', '情况', '下会', '主动', '提出', '停牌']	 港股 通 股票 上市公司 情况 下会 主动 提出 停牌
投资者参与港股通交易，需要特别注意哪些登记结算方面的问题？	一是，港股通交易不支持实物证券存入或者提取。内地投资者通过港股通买入的港股，只能通过港股通卖出并取回人民币现金，而不能跨境转存管，中国证监会另有规定的除外。二是，碎股的舍尾处理。对因港股通股票发行人派发的红股以及因股份分拆及合并业务产生的投资者账户内小于1股的碎股，中国结算将进行舍尾处理。当香港结算发放的红股总数或分拆、合并股票数额大于港股通投资者账户舍尾取整后的总数，中国结算按照精确算法分配差额部分。三是，关注可能出现的账户透支。当汇率出现极端情况下的大幅波动，或者由于香港市场相关交易、结算费用的收取（例如，交易系统使用费是按实际成交笔数而不是申报笔数收取；又如，香港结算按日收取证券组合费），均可能会导致投资者账户透支。因此，港股通投资者应关注其账户内的资金余额，做出必要的预留。四是，持有港股通证券的投资者应缴纳证券组合费，该费根据投资者证券账户持有市值以一定的比例按自然日进行计算收取。需提示投资者如果持有港股通证券，即使不交易，也需每日缴纳证券组合费，可能会导致投资者账户透支。对此，港股通投资者应关注其账户内的资金余额。	['投资者', '参与', '港股', '通', '交易', '需要', '特别', '注意', '哪些', '登记', '结算', '方面', '的', '问题']	 投资者 参与 港股 通 交易 需要 特别 注意 登记 结算 方面 问题
大宗交易的过户文件怎么接收？	通过EzTrans、RptGet等工具接收过户文件后，解压DGHXXXXX.zip文件（XXXXX表示业务交易单元号），解压后有bghXXXXXYYYYMMDD.dbf和dghXXXXXYYYYMMDD.dbf，其中dghXXXXXYYYYMMDD.dbf就是大宗交易的过户文件。	['大宗', '交易', '的', '过户', '文件', '怎么', '接收']	 大宗 交易 过户 文件 接收
沪港两市在股票交易的最小申报单位、每手股数、申报最大限制方面有什么不同吗？	一是香港关于股票交易最小报价单位的规定不同于沪市A股，具体与股价相关。因此，不同价格的股票存在与之相对应的不同的最小报价单位。二是在交易单位上，不同于通过竞价交易申报沪市股票须为100的整数倍，卖出数不足100的一次性卖出，港股交易的每手股数（即“一手”）无统一规定，由作为发行人的上市公司确定，具体交易单位由100到5000股不等。三是沪港股市的委托/申报上限存在差异。沪市股票单笔申报最大数量不超过100万股（1万手），港市股票每个买卖盘上限为3000手（股票数量上限取决于各个股票每手股票数量，系统上限为99，999，999股）。具体参见下表	['沪港', '两市', '在', '股票交易', '的', '最小', '申报', '单位', '每手', '股数', '申报', '最大', '限制', '方面', '有', '什么', '不同', '吗']	 沪港 两市 股票交易 最小 申报 单位 每手 股数 申报 最大 限制 方面 不同
